#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
7.7,23,530.986136
16.1,34,532.19708
-4.3,8,532.70524
-3.4,9,533.193866
-4.6,6,533.626525
-4.6,6,534.047884
6.8,27,535.124737
-4.3,8,535.630589
-6.7,7,536.889728
-0.1,11,537.354406
-1.9,14,538.023422
-5.8,8,538.542709
-4.6,6,538.934091
-4.6,6,539.358343
-3.1,11,539.93661
8.0,20,540.74661
-1.6,11,541.3516
-6.1,6,541.797199
8.0,30,542.996838
3.5,15,543.692501
2.3,17,544.4767
-4.3,8,544.993901
-4.6,6,545.384311
-6.1,6,545.805073
-2.8,8,546.288352
-0.7,12,546.894187
7.1,24,547.914181
-7.6,6,548.300455
12.5,30,549.403264
-3.7,12,550.028205
1.1,14,550.714634
16.4,31,551.915774
26.6,44,553.447301
-2.5,10,553.931204
-6.1,6,554.373729
22.7,38,555.777477
8.6,29,556.900858
-0.7,12,557.484171
-6.1,6,557.883662
8.3,22,558.812395
-0.7,12,559.417283
-3.4,9,559.90387
-3.1,11,561.50193
12.5,30,562.549752
6.2,18,563.357374
8.6,24,564.365195
-1.3,13,565.006594
3.5,15,565.657497
16.4,31,566.896758
-1.9,9,567.381604
-3.7,7,567.766289
-3.7,7,568.191165
8.9,26,569.223136
-7.3,8,569.711713
-4.3,8,570.20227
-6.1,6,570.60275
-4.6,6,571.036339
-6.1,6,571.408169
-2.2,12,572.014944
14.0,30,573.219818
-4.6,6,573.612756
-9.1,6,574.026177
-4.6,6,574.430574
7.4,21,575.356785
-2.5,15,576.034841
-1.9,9,576.546319
-6.1,6,576.977774
11.6,24,577.959587
-4.6,6,578.382603
7.1,19,579.176606
-3.4,9,579.688917
0.8,12,580.296912
-3.4,9,580.804305
-6.1,6,581.251702
-3.7,7,581.690024
-4.6,6,582.095346
-1.9,9,582.614425
-0.1,11,583.194587
-6.1,6,583.64018
7.1,24,584.620766
6.2,18,585.425796
-2.8,8,585.92435
-1.9,9,586.414602
-4.6,6,587.741057
10.1,24,588.630921
-0.7,12,589.248212
-4.6,6,589.697419
-2.8,8,590.15963
-4.6,6,590.572905
-4.6,6,590.956656
-6.1,6,591.375125
2.6,14,592.079862
-1.9,9,592.561189
-4.6,6,592.954714
1.1,19,593.797844
-3.7,7,594.221497
10.4,31,595.398076
-3.4,9,595.90669
45.5,70,598.311175
6.2,18,599.122603
3.5,15,599.824801
23.0,45,601.33791
-6.1,6,601.74096
6.5,20,602.582978
-2.8,8,603.054189
-1.9,9,603.576321
13.4,31,604.767452
-4.6,6,605.207187
1.1,14,605.893574
1.1,14,606.616862
11.6,24,607.618357
-1.9,9,608.129756
10.1,24,609.106065
-4.6,6,609.547739
-5.5,10,610.106715
1.4,26,611.822056
8.3,22,612.724324
-4.6,6,613.128612
-4.6,6,613.551728
5.3,17,614.334678
11.6,24,615.359814
-3.4,9,615.862731
7.4,21,616.753256
14.9,31,617.9632
-2.5,10,618.489832
6.2,18,619.28513
-4.6,6,619.724389
5.3,17,620.492843
3.5,20,621.299064
2.9,16,622.003525
-4.6,6,622.411533
7.1,19,623.218838
10.7,23,624.232018
3.2,18,625.013775
-4.9,9,625.54067
-4.6,6,625.934829
-3.7,7,626.348095
8.9,21,627.227083
-1.9,9,627.731471
-4.6,6,628.133015
-4.3,8,628.640122
2.0,15,629.339717
-4.0,15,629.977046
2.0,15,630.658882
4.4,16,631.365346
1.1,14,632.061324
0.2,13,632.665723
5.3,22,633.577766
6.2,18,634.378972
-3.4,9,634.888319
-3.1,16,636.268906
0.8,12,636.80849
3.5,15,637.51057
7.1,19,638.317296
11.0,30,639.516143
-0.7,12,640.121799
14.6,29,641.231346
4.4,16,641.94656
