#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
4.4,21,2395.863965
-4.3,8,2396.365709
-1.6,11,2396.966098
36.8,52,2398.796484
-7.6,6,2399.223559
9.2,23,2400.182282
14.6,29,2401.295198
-4.6,6,2401.708344
-6.1,6,2402.098779
-3.4,9,2402.602324
-2.8,8,2403.124909
-1.6,11,2403.726484
-2.8,8,2404.214617
0.2,13,2404.820605
-1.9,9,2405.34012
2.0,15,2406.028052
-4.0,10,2406.545997
-6.1,6,2406.946997
16.4,31,2408.137732
0.8,22,2410.141333
-0.4,14,2410.689889
1.7,13,2411.27309
-0.1,11,2411.879606
5.9,26,2412.881731
-1.9,9,2413.387637
-2.2,12,2413.993734
-1.0,10,2414.520887
0.8,12,2415.11751
2.3,17,2415.853295
-6.1,6,2416.279612
-3.7,7,2416.726533
69.2,93,2419.862417
8.6,24,2420.861039
-2.5,10,2421.378419
9.8,22,2422.284626
-2.8,13,2422.892426
7.4,21,2423.797003
1.7,28,2424.920674
-5.2,12,2425.503633
-2.8,8,2426.005813
-1.9,9,2426.530736
5.3,17,2427.217277
-3.4,14,2427.916176
0.8,12,2428.538491
13.7,33,2429.842059
2.3,27,2430.927744
-0.1,21,2431.836729
-6.1,11,2433.431099
-1.0,10,2433.848312
17.3,32,2435.081789
10.1,24,2436.103933
15.5,30,2437.323275
-1.3,13,2438.020896
-4.6,6,2438.428358
19.4,36,2439.81072
-4.6,6,2440.221708
1.4,16,2440.940343
6.2,23,2441.860649
33.2,58,2443.971842
19.7,38,2445.378522
-1.9,9,2445.899262
-2.2,12,2446.521274
7.7,28,2447.636949
17.0,30,2448.827986
-3.4,9,2449.33766
-2.8,8,2449.848715
-1.9,14,2450.541362
-1.6,11,2451.16865
1.7,13,2451.765865
4.7,23,2452.663496
4.1,19,2453.471941
-3.4,9,2453.997333
13.4,31,2455.18957
